livestream_id,dj_id,date,total_viewers,avg_view_duration_minutes,music_source,is_treatment_group,is_commercial_user,follower_count_at_stream
LS_0_DJ_0,DJ_0,2025-05-01,9829,27.63049724780374,Copyrighted,True,False,250310
LS_1_DJ_0,DJ_0,2025-05-01,11299,29.052878233257044,Copyrighted,True,False,250310
LS_2_DJ_1,DJ_1,2025-05-01,9840,32.17651202140471,Copyrighted,True,False,55015
LS_3_DJ_1,DJ_1,2025-05-01,9902,30.965778006467687,Copyrighted,True,False,55015
LS_4_DJ_1,DJ_1,2025-05-01,10477,28.1987794716249,Copyrighted,True,False,55015
LS_5_DJ_2,DJ_2,2025-05-01,9532,28.488893421311275,Copyrighted,True,False,253550
LS_6_DJ_2,DJ_2,2025-05-01,11010,29.94228771864391,Copyrighted,True,False,253550
LS_7_DJ_2,DJ_2,2025-05-01,9432,33.79892792817844,Copyrighted,True,False,253550
LS_8_DJ_3,DJ_3,2025-05-01,11159,30.447170196412287,Copyrighted,True,False,127096
LS_9_DJ_4,DJ_4,2025-05-01,10065,29.9668640126591,Copyrighted,True,True,112059
LS_10_DJ_4,DJ_4,2025-05-01,9303,32.919318004284655,Copyrighted,True,True,112059
LS_11_DJ_4,DJ_4,2025-05-01,9726,26.720032295618616,Copyrighted,True,True,112059
LS_12_DJ_4,DJ_4,2025-05-01,10307,29.552756782174942,Copyrighted,True,True,112059
LS_13_DJ_4,DJ_4,2025-05-01,10318,28.527893472926774,Copyrighted,True,True,112059
LS_14_DJ_5,DJ_5,2025-05-01,10884,30.548584362660606,Copyrighted,True,True,190340
LS_15_DJ_5,DJ_5,2025-05-01,10536,29.6109243237627,Copyrighted,True,True,190340
LS_16_DJ_5,DJ_5,2025-05-01,10031,28.45870872548053,Copyrighted,True,True,190340
LS_17_DJ_6,DJ_6,2025-05-01,9216,33.05549121085363,Copyrighted,True,True,115687
LS_18_DJ_6,DJ_6,2025-05-01,9662,28.054931814452207,Copyrighted,True,True,115687
LS_19_DJ_6,DJ_6,2025-05-01,10745,31.65704573364006,Copyrighted,True,True,115687
LS_20_DJ_9,DJ_9,2025-05-01,9108,31.43506494167179,Copyrighted,True,False,216428
LS_21_DJ_9,DJ_9,2025-05-01,9891,29.380287091366167,Copyrighted,True,False,216428
LS_22_DJ_10,DJ_10,2025-05-01,8923,29.480041970387248,Copyrighted,True,True,110878
LS_23_DJ_12,DJ_12,2025-05-01,9410,31.65133513252939,Copyrighted,True,False,454260
LS_24_DJ_13,DJ_13,2025-05-01,11237,30.928575090853027,Copyrighted,True,False,203286
LS_25_DJ_14,DJ_14,2025-05-01,10695,28.39016620203229,Copyrighted,True,True,254002
LS_26_DJ_15,DJ_15,2025-05-01,10081,30.476001249387828,Copyrighted,True,True,255396
LS_27_DJ_15,DJ_15,2025-05-01,10046,31.630396546345757,Copyrighted,True,True,255396
LS_28_DJ_17,DJ_17,2025-05-01,8933,28.791908348332374,Copyrighted,True,False,454036
LS_29_DJ_18,DJ_18,2025-05-01,9134,29.61953902147599,Copyrighted,True,False,329767
LS_30_DJ_18,DJ_18,2025-05-01,10469,29.85191137023729,Copyrighted,True,False,329767
LS_31_DJ_19,DJ_19,2025-05-01,9301,26.687660292821775,Copyrighted,True,False,479950
LS_32_DJ_19,DJ_19,2025-05-01,9230,27.12908414912604,Copyrighted,True,False,479950
LS_33_DJ_20,DJ_20,2025-05-01,9947,30.304047453596286,Copyrighted,True,False,342594
LS_34_DJ_21,DJ_21,2025-05-01,9379,29.848362769741037,Copyrighted,True,True,360570
LS_35_DJ_21,DJ_21,2025-05-01,10369,31.546814184152492,Copyrighted,True,True,360570
LS_36_DJ_22,DJ_22,2025-05-01,10245,32.10102546331366,Copyrighted,True,False,384989
LS_37_DJ_22,DJ_22,2025-05-01,9714,31.29817440676736,Copyrighted,True,False,384989
LS_38_DJ_22,DJ_22,2025-05-01,8818,28.602084412406487,Copyrighted,True,False,384989
LS_39_DJ_22,DJ_22,2025-05-01,9611,31.300146349206,Copyrighted,True,False,384989
LS_40_DJ_22,DJ_22,2025-05-01,9832,29.08293148949438,Copyrighted,True,False,384989
LS_41_DJ_22,DJ_22,2025-05-01,8940,33.24909511839024,Copyrighted,True,False,384989
LS_42_DJ_23,DJ_23,2025-05-01,10534,30.22247401675277,Copyrighted,True,False,420515
LS_43_DJ_23,DJ_23,2025-05-01,10465,29.348340844513363,Copyrighted,True,False,420515
LS_44_DJ_24,DJ_24,2025-05-01,9989,28.94070513719057,Copyrighted,True,False,48585
LS_45_DJ_25,DJ_25,2025-05-01,10480,26.76803262601379,Copyrighted,True,False,376369
LS_46_DJ_25,DJ_25,2025-05-01,10203,33.877379920338576,Copyrighted,True,False,376369
LS_47_DJ_26,DJ_26,2025-05-01,9522,29.084174715718838,Copyrighted,True,True,69044
LS_48_DJ_26,DJ_26,2025-05-01,11167,28.91588924962351,Copyrighted,True,True,69044
LS_49_DJ_27,DJ_27,2025-05-01,10987,31.975369201876983,Copyrighted,True,False,440773
LS_50_DJ_27,DJ_27,2025-05-01,11036,32.806691658225674,Copyrighted,True,False,440773
LS_51_DJ_28,DJ_28,2025-05-01,10419,27.591497431348042,Copyrighted,True,False,447296
LS_52_DJ_29,DJ_29,2025-05-01,11226,29.45215487830902,Copyrighted,True,True,114556
LS_53_DJ_30,DJ_30,2025-05-01,10391,29.877228713864522,Copyrighted,True,False,7693
LS_54_DJ_31,DJ_31,2025-05-01,9893,29.23829635116802,Copyrighted,True,True,493219
LS_55_DJ_32,DJ_32,2025-05-01,10034,27.222987347143846,Copyrighted,True,True,362403
LS_56_DJ_32,DJ_32,2025-05-01,10417,32.658156418154746,Copyrighted,True,True,362403
LS_57_DJ_32,DJ_32,2025-05-01,10343,31.970742120628863,Copyrighted,True,True,362403
LS_58_DJ_32,DJ_32,2025-05-01,9514,26.774500891226893,Copyrighted,True,True,362403
LS_59_DJ_32,DJ_32,2025-05-01,10180,32.04116661188949,Copyrighted,True,True,362403
LS_60_DJ_33,DJ_33,2025-05-01,8972,28.707926353075415,Copyrighted,True,False,248307
LS_61_DJ_33,DJ_33,2025-05-01,9425,28.793070796284567,Copyrighted,True,False,248307
LS_62_DJ_33,DJ_33,2025-05-01,8847,29.304398453639433,Copyrighted,True,False,248307
LS_63_DJ_33,DJ_33,2025-05-01,9457,29.942400020912597,Copyrighted,True,False,248307
LS_64_DJ_36,DJ_36,2025-05-01,9681,29.044857422574715,Copyrighted,True,False,447141
LS_65_DJ_36,DJ_36,2025-05-01,11275,29.617031073831964,Copyrighted,True,False,447141
LS_66_DJ_36,DJ_36,2025-05-01,10924,28.9960677421348,Copyrighted,True,False,447141
LS_67_DJ_37,DJ_37,2025-05-01,8815,25.82765129849857,Copyrighted,True,True,441157
LS_68_DJ_38,DJ_38,2025-05-01,9725,29.928893505729864,Copyrighted,True,False,157906
LS_69_DJ_38,DJ_38,2025-05-01,9180,27.803393112958716,Copyrighted,True,False,157906
LS_70_DJ_38,DJ_38,2025-05-01,9782,28.313216936951385,Copyrighted,True,False,157906
LS_71_DJ_38,DJ_38,2025-05-01,10660,28.430638542055394,Copyrighted,True,False,157906
LS_72_DJ_39,DJ_39,2025-05-01,9929,30.752235554843725,Copyrighted,True,False,23047
LS_73_DJ_39,DJ_39,2025-05-01,10956,32.73637471850602,Copyrighted,True,False,23047
LS_74_DJ_39,DJ_39,2025-05-01,10766,31.00792310302513,Copyrighted,True,False,23047
LS_75_DJ_40,DJ_40,2025-05-01,10872,30.377985545023844,Copyrighted,True,True,293249
LS_76_DJ_41,DJ_41,2025-05-01,11000,30.344185598381603,Copyrighted,True,False,80766
LS_77_DJ_42,DJ_42,2025-05-01,9532,27.763641537497673,Copyrighted,True,True,413923
LS_78_DJ_43,DJ_43,2025-05-01,9761,30.622282090674666,Copyrighted,True,False,420192
LS_79_DJ_44,DJ_44,2025-05-01,9941,32.879542402720844,Copyrighted,True,False,49262
LS_80_DJ_45,DJ_45,2025-05-01,8923,30.021666371420764,Copyrighted,True,False,392261
LS_81_DJ_45,DJ_45,2025-05-01,10825,29.277885581630827,Copyrighted,True,False,392261
LS_82_DJ_47,DJ_47,2025-05-01,10004,29.85764310310927,Copyrighted,True,False,166152
LS_83_DJ_49,DJ_49,2025-05-01,10516,31.71006838987033,Copyrighted,True,True,465058
LS_84_DJ_50,DJ_50,2025-05-01,9324,28.085651363830134,Licensed,False,False,459589
LS_85_DJ_50,DJ_50,2025-05-01,9230,30.342100195889724,Licensed,False,False,459589
LS_86_DJ_51,DJ_51,2025-05-01,10935,29.18323330363712,Original,False,False,142848
LS_87_DJ_51,DJ_51,2025-05-01,9983,27.863889150343795,Original,False,False,142848
LS_88_DJ_52,DJ_52,2025-05-01,10368,30.776182805511837,Licensed,False,False,97787
LS_89_DJ_52,DJ_52,2025-05-01,9334,30.27382602931698,Licensed,False,False,97787
LS_90_DJ_53,DJ_53,2025-05-01,9484,30.458180201464536,Original,False,False,132948
LS_91_DJ_54,DJ_54,2025-05-01,8634,28.14512414920331,Licensed,False,False,60016
LS_92_DJ_55,DJ_55,2025-05-01,10427,33.44182877760517,Licensed,False,False,407690
LS_93_DJ_55,DJ_55,2025-05-01,10910,28.329375685932042,Licensed,False,False,407690
LS_94_DJ_55,DJ_55,2025-05-01,10101,30.815674471712107,Licensed,False,False,407690
LS_95_DJ_55,DJ_55,2025-05-01,9243,33.464835308981556,Licensed,False,False,407690
LS_96_DJ_55,DJ_55,2025-05-01,9965,30.576005807060415,Original,False,False,407690
LS_97_DJ_57,DJ_57,2025-05-01,9704,28.761286548686112,Original,False,True,26959
LS_98_DJ_58,DJ_58,2025-05-01,11251,33.74091674382014,Original,False,True,141602
LS_99_DJ_60,DJ_60,2025-05-01,10999,32.69236065487701,Licensed,False,False,386245
LS_100_DJ_60,DJ_60,2025-05-01,9377,31.429668872396896,Licensed,False,False,386245
